step:151/3080 train_time:123.376s step_avg:817.06ms
step:152/3080 train_time:123.723s step_avg:813.97ms
step:153/3080 train_time:124.072s step_avg:810.93ms
step:154/3080 train_time:124.420s step_avg:807.92ms
step:155/3080 train_time:124.768s step_avg:804.96ms
step:156/3080 train_time:125.116s step_avg:802.03ms
step:157/3080 train_time:125.464s step_avg:799.14ms
step:158/3080 train_time:125.813s step_avg:796.29ms
step:159/3080 train_time:126.161s step_avg:793.47ms
step:160/3080 train_time:126.509s step_avg:790.68ms
step:161/3080 train_time:126.857s step_avg:787.93ms
step:162/3080 train_time:127.206s step_avg:785.22ms
step:163/3080 train_time:127.555s step_avg:782.55ms
step:164/3080 train_time:127.903s step_avg:779.90ms
step:165/3080 train_time:128.251s step_avg:777.28ms
step:166/3080 train_time:128.599s step_avg:774.69ms
step:167/3080 train_time:128.947s step_avg:772.14ms
step:168/3080 train_time:129.295s step_avg:769.61ms
step:169/3080 train_time:129.643s step_avg:767.12ms
step:170/3080 train_time:129.991s step_avg:764.65ms
step:171/3080 train_time:130.339s step_avg:762.22ms
step:172/3080 train_time:130.688s step_avg:759.81ms
step:173/3080 train_time:131.036s step_avg:757.44ms
step:174/3080 train_time:131.385s step_avg:755.08ms
step:175/3080 train_time:131.733s step_avg:752.76ms
step:176/3080 train_time:132.081s step_avg:750.46ms
step:177/3080 train_time:132.429s step_avg:748.19ms
step:178/3080 train_time:132.779s step_avg:745.95ms
step:179/3080 train_time:133.126s step_avg:743.72ms
step:180/3080 train_time:133.474s step_avg:741.52ms
step:181/3080 train_time:133.823s step_avg:739.35ms
step:182/3080 train_time:134.171s step_avg:737.20ms
step:183/3080 train_time:134.519s step_avg:735.08ms
step:184/3080 train_time:134.868s step_avg:732.98ms
step:185/3080 train_time:135.215s step_avg:730.89ms
step:186/3080 train_time:135.563s step_avg:728.83ms
step:187/3080 train_time:135.912s step_avg:726.80ms
step:188/3080 train_time:136.261s step_avg:724.79ms
step:189/3080 train_time:136.608s step_avg:722.79ms
step:190/3080 train_time:136.956s step_avg:720.82ms
data shard loaded: /root/muoff/data/fineweb10B/fineweb_train_000002.bin (100000000 tokens)
step:191/3080 train_time:137.569s step_avg:720.26ms
step:192/3080 train_time:137.916s step_avg:718.31ms
step:193/3080 train_time:138.263s step_avg:716.39ms
step:194/3080 train_time:138.611s step_avg:714.49ms
step:195/3080 train_time:138.959s step_avg:712.61ms
step:196/3080 train_time:139.308s step_avg:710.75ms
step:197/3080 train_time:139.657s step_avg:708.92ms
step:198/3080 train_time:140.006s step_avg:707.10ms
step:199/3080 train_time:140.354s step_avg:705.30ms
step:200/3080 train_time:140.702s step_avg:703.51ms
step:201/3080 train_time:141.049s step_avg:701.74ms
step:202/3080 train_time:141.397s step_avg:699.98ms
step:203/3080 train_time:141.745s step_avg:698.25ms
step:204/3080 train_time:142.094s step_avg:696.54ms
step:205/3080 train_time:142.443s step_avg:694.85ms
step:206/3080 train_time:142.791s step_avg:693.16ms
step:207/3080 train_time:143.138s step_avg:691.49ms
step:208/3080 train_time:143.486s step_avg:689.83ms
step:209/3080 train_time:143.833s step_avg:688.20ms
step:210/3080 train_time:144.182s step_avg:686.58ms
step:211/3080 train_time:144.530s step_avg:684.97ms
step:212/3080 train_time:144.880s step_avg:683.40ms
step:213/3080 train_time:145.228s step_avg:681.82ms
step:214/3080 train_time:145.576s step_avg:680.26ms
step:215/3080 train_time:145.923s step_avg:678.71ms
step:216/3080 train_time:146.271s step_avg:677.18ms
step:217/3080 train_time:146.619s step_avg:675.66ms
step:218/3080 train_time:146.967s step_avg:674.16ms
step:219/3080 train_time:147.315s step_avg:672.67ms
step:220/3080 train_time:147.664s step_avg:671.20ms
step:221/3080 train_time:148.012s step_avg:669.74ms
step:222/3080 train_time:148.361s step_avg:668.29ms
step:223/3080 train_time:148.708s step_avg:666.85ms
step:224/3080 train_time:149.055s step_avg:665.42ms
step:225/3080 train_time:149.404s step_avg:664.02ms
step:226/3080 train_time:149.751s step_avg:662.62ms
step:227/3080 train_time:150.100s step_avg:661.23ms
step:228/3080 train_time:150.448s step_avg:659.86ms
step:229/3080 train_time:150.796s step_avg:658.50ms
step:230/3080 train_time:151.143s step_avg:657.14ms
step:231/3080 train_time:151.491s step_avg:655.81ms
step:232/3080 train_time:151.839s step_avg:654.48ms
step:233/3080 train_time:152.186s step_avg:653.16ms
step:234/3080 train_time:152.535s step_avg:651.86ms
step:235/3080 train_time:152.884s step_avg:650.57ms
step:236/3080 train_time:153.232s step_avg:649.29ms
step:237/3080 train_time:153.581s step_avg:648.02ms
step:238/3080 train_time:153.931s step_avg:646.77ms
step:239/3080 train_time:154.279s step_avg:645.52ms
step:240/3080 train_time:154.626s step_avg:644.28ms
step:241/3080 train_time:154.975s step_avg:643.05ms
step:242/3080 train_time:155.322s step_avg:641.83ms
step:243/3080 train_time:155.671s step_avg:640.62ms
step:244/3080 train_time:156.019s step_avg:639.42ms
step:245/3080 train_time:156.368s step_avg:638.24ms
step:246/3080 train_time:156.715s step_avg:637.05ms
step:247/3080 train_time:157.063s step_avg:635.88ms
step:248/3080 train_time:157.411s step_avg:634.72ms
step:249/3080 train_time:157.759s step_avg:633.57ms
step:250/3080 train_time:158.107s step_avg:632.43ms
step:250/3080 val_loss:4.10655 train_time:158.127s step_avg:632.50ms
step:251/3080 train_time:158.459s step_avg:631.31ms
step:252/3080 train_time:158.808s step_avg:630.19ms
step:253/3080 train_time:159.155s step_avg:629.07ms
step:254/3080 train_time:159.503s step_avg:627.96ms
step:255/3080 train_time:159.851s step_avg:626.87ms
step:256/3080 train_time:160.200s step_avg:625.78ms
step:257/3080 train_time:160.547s step_avg:624.70ms
step:258/3080 train_time:160.895s step_avg:623.62ms
step:259/3080 train_time:161.244s step_avg:622.56ms
step:260/3080 train_time:161.591s step_avg:621.51ms
step:261/3080 train_time:161.941s step_avg:620.46ms
step:262/3080 train_time:162.289s step_avg:619.42ms
step:263/3080 train_time:162.637s step_avg:618.39ms
step:264/3080 train_time:162.986s step_avg:617.37ms
step:265/3080 train_time:163.332s step_avg:616.35ms
step:266/3080 train_time:163.682s step_avg:615.34ms
step:267/3080 train_time:164.029s step_avg:614.34ms
step:268/3080 train_time:164.376s step_avg:613.34ms
step:269/3080 train_time:164.725s step_avg:612.36ms
step:270/3080 train_time:165.073s step_avg:611.38ms
step:271/3080 train_time:165.422s step_avg:610.41ms
step:272/3080 train_time:165.770s step_avg:609.45ms
step:273/3080 train_time:166.118s step_avg:608.49ms
step:274/3080 train_time:166.466s step_avg:607.54ms
step:275/3080 train_time:166.814s step_avg:606.60ms
step:276/3080 train_time:167.162s step_avg:605.66ms
step:277/3080 train_time:167.509s step_avg:604.73ms
step:278/3080 train_time:167.858s step_avg:603.80ms
step:279/3080 train_time:168.205s step_avg:602.89ms
step:280/3080 train_time:168.555s step_avg:601.98ms
step:281/3080 train_time:168.902s step_avg:601.07ms
step:282/3080 train_time:169.248s step_avg:600.17ms
step:283/3080 train_time:169.596s step_avg:599.28ms
step:284/3080 train_time:169.944s step_avg:598.40ms
step:285/3080 train_time:170.294s step_avg:597.52ms
step:286/3080 train_time:170.643s step_avg:596.65ms
step:287/3080 train_time:170.989s step_avg:595.78ms
step:288/3080 train_time:171.337s step_avg:594.92ms
step:289/3080 train_time:171.686s step_avg:594.07ms
step:290/3080 train_time:172.035s step_avg:593.22ms
step:291/3080 train_time:172.382s step_avg:592.38ms
step:292/3080 train_time:172.730s step_avg:591.54ms
step:293/3080 train_time:173.077s step_avg:590.71ms
step:294/3080 train_time:173.426s step_avg:589.88ms
step:295/3080 train_time:173.774s step_avg:589.06ms
step:296/3080 train_time:174.121s step_avg:588.25ms
step:297/3080 train_time:174.470s step_avg:587.44ms
step:298/3080 train_time:174.817s step_avg:586.63ms
step:299/3080 train_time:175.165s step_avg:585.84ms
step:300/3080 train_time:175.514s step_avg:585.05ms
step:301/3080 train_time:175.861s step_avg:584.26ms
step:302/3080 train_time:176.209s step_avg:583.47ms
step:303/3080 train_time:176.557s step_avg:582.70ms
